platform,operation,i,tx_hash,gas_used,latency_ms,success,error
Kaleido-EVM,IssueAnchor,80,0x6053be62d11f74e68d2b40751b4507b67d921d3c8786ba8876362293eb6dd91d,155740,4925,true,
Kaleido-EVM,Attest,80,0x58313b4f2635d816261c4383ecd9abfc8afaee50ac700d3c981093efaaef72e5,34307,4925,true,
Kaleido-EVM,Revoke,80,0x04f271723c35a8a55c59b257069be3be37c24a2f7f196b40d136fcf255c1779c,63469,4918,true,
Kaleido-EVM,IssueAnchor,81,0xf1b7543e669248b40c9936f4a5f9f11e6a32269aa972098ac14c8e4caa9bf84e,155740,5643,true,
Kaleido-EVM,IssueAnchor,82,0xe54e1eb02aeb4a37d9b35b49f2e54f1d73f404860040f5db73ad95840f5c37b4,155716,4927,true,
Kaleido-EVM,Attest,82,0xf3fd5b7867f4f0e775efce50e08119a73d3164823be4bdaa238b56cad7ebe9b8,34283,4937,true,
Kaleido-EVM,IssueAnchor,83,0x30a2ceb3b50fcd52b8ed56e9862306d2c470d61e14423c50461a0d278d9302db,155728,4936,true,
Kaleido-EVM,IssueAnchor,84,0x978e20f9a67b9aa6a35624902c7dd77371611cc8f9f30396c681083b19c6dce4,155740,4965,true,
Kaleido-EVM,Attest,84,0x369d3468a4015c2969770c9f7654bbcb63728efe53993534b3d64f75b0f369e4,34307,4922,true,
Kaleido-EVM,IssueAnchor,85,0x8fccba93a7e9ec8473f639bb92c442885d7217c3579ca8af3222183b99094c18,155740,4923,true,
Kaleido-EVM,IssueAnchor,86,0xed417049ec5b508ddeb497ba016918519c83288ca9e0b324a44b870aa210268a,155740,4921,true,
Kaleido-EVM,Attest,86,0xe51589d3ea2d138975b2c6dc95d14727ead205dad01a2678c2ef2a421fcbd63b,34307,4927,true,
Kaleido-EVM,IssueAnchor,87,0xb1369c16d4fc7e44955ca53456dc69cf83a49b7a618fb1fc6c19824a710c3538,155740,4920,true,
Kaleido-EVM,IssueAnchor,88,0x895e430b97b26f94b0c3def8044284503155be1c985cba9720d9fb147dac54d5,155740,5650,true,
Kaleido-EVM,Attest,88,0xe878b7a0caa2893c9c0f3e0f390857e71f5bdc9a1f5c3fd6a11ede67ee9953ca,34307,4927,true,
Kaleido-EVM,IssueAnchor,89,0x458122e37f7fbd60058014745cbfeae31c1a78949a12f4615e4b96c57e14753a,155740,4926,true,
Kaleido-EVM,IssueAnchor,90,0x41d9515739de8195b226efdd60cfa2fba05ce6aa3ec020414886c27499d82573,155740,4955,true,
Kaleido-EVM,Attest,90,0x30788d46a251cded056cc5652f8c327d3926cc0ac1e4fad765d9073824b758ed,34307,4995,true,
Kaleido-EVM,Revoke,90,0x75ced24e56268a43524485f0885a45efe1b7ea6e11f8d8f6f15fb82594ce53a0,63469,4990,true,
Kaleido-EVM,IssueAnchor,91,0x6c1704316b7df96547e9d1db95701b55de43e86369396cea2bd0c0fb0b975771,155740,4981,true,
Kaleido-EVM,IssueAnchor,92,0xd1c54e59f41e77707a5410fb73565429bd3508cb197f45bf4e4b029151ebaa04,155740,5034,true,
Kaleido-EVM,Attest,92,0xc1d97ab4c9c9f1d43f5dbb92c350254e78b6db1153735b3d9f7acf05569b5d6d,34307,4986,true,
Kaleido-EVM,IssueAnchor,93,0x396cd954bff122d36e9140ba844fc7877830849f6ff996aca4742f7fe8636f49,155728,4990,true,
Kaleido-EVM,IssueAnchor,94,0x3dfd738012e3090808ac73a0f4a483de5da1f32ea8a97932da21891a58cd7212,155728,4988,true,
Kaleido-EVM,Attest,94,0x779cbf703b93fb922347baf30467214d3b96e6bd186dbe62f39d0533205d7965,34307,4994,true,
Kaleido-EVM,IssueAnchor,95,0x63883538c67ba8be4f0a433ac92acd545fefc459f62295cd9fc3c95329e960e3,155740,4981,true,
Kaleido-EVM,IssueAnchor,96,0x9c17179a817f7aa67b6527c7156e3217aa90a3367ddcf037265a1be5b9b71663,155740,4985,true,
Kaleido-EVM,Attest,96,0xaa47f1737d84e60845df33727cf756b0f37c1e1cfb0f6bdc9831f8d3a87a8783,34307,4983,true,
Kaleido-EVM,IssueAnchor,97,0xf7e57b5db24acb11ed6f04626aadb9adea3415e276f617dae1eeadc89933851b,155740,4978,true,
Kaleido-EVM,IssueAnchor,98,0x34798250f0be63f26430d17b6531d7dc4dc8f8c47192ccc26a94bef2d52e75e7,155740,4980,true,
Kaleido-EVM,Attest,98,0x715d2fb8bae66342f92bb6a74dea0c22f7142a621c2a2acfea74b4f68d9f43ee,34307,4999,true,
Kaleido-EVM,IssueAnchor,99,0x738daecece521bd569d7bcbe151b1b5b5b30c72b366de6e8dc59512adb4e0c22,155740,4983,true,
